,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
1,Sun,10/7/1928,A,Chicago Cardinals,0-7,L,,"Chicago, IL",Normal Park,,,Dayton Triangles,day
2,Sun,10/14/1928,A,Providence Steam Roller,0-28,L,,"Providence, RI",Providence Cycledrome,7000,,Dayton Triangles,day
3,Sat,10/20/1928,A,Frankford Yellow Jackets,9-13,L,,"Philadelphia, PA",Frankford Stadium,7000,,Dayton Triangles,day
4,Sun,10/28/1928,A,Green Bay Packers,0-17,L,,"Green Bay, WI",City Stadium,3100,,Dayton Triangles,day
5,Sun,11/11/1928,A,Chicago Bears,0-27,L,,"Chicago, IL",Wrigley Field,5000,,Dayton Triangles,day
6,Thu,11/29/1928,A,Detroit Wolverines,0-33,L,,"Detroit, MI",University of Detroit Stadium,,,Dayton Triangles,day
0,Sun,9/22/1929,H,Dayton Triangles,9-0,W,,"Green Bay, WI",City Stadium,5000,,Green Bay Packers,gb
1,Sun,9/29/1929,H,Chicago Bears,23-0,W,,"Green Bay, WI",City Stadium,12069,,Green Bay Packers,gb
2,Sun,10/6/1929,H,Chicago Cardinals,9-2,W,,"Green Bay, WI",City Stadium,6000,,Green Bay Packers,gb
3,Sun,10/13/1929,H,Frankford Yellow Jackets,14-2,W,,"Green Bay, WI",City Stadium,9000,,Green Bay Packers,gb
4,Sun,10/20/1929,H,Minneapolis Redjackets,24-0,W,,"Green Bay, WI",City Stadium,6000,,Green Bay Packers,gb
5,Sun,10/27/1929,A,Chicago Cardinals,7-6,W,,"Chicago, IL",Comiskey Park,8000,,Green Bay Packers,gb
6,Sun,11/3/1929,A,Minneapolis Redjackets,16-6,W,,"Minneapolis, MN",Nicollet Park,3000,,Green Bay Packers,gb
7,Sun,11/10/1929,A,Chicago Bears,14-0,W,,"Chicago, IL",Wrigley Field,12000,,Green Bay Packers,gb
8,Sun,11/17/1929,A,Chicago Cardinals,12-0,W,,"Chicago, IL",Comiskey Park,10000,,Green Bay Packers,gb
9,Sun,11/24/1929,A,New York Giants,20-6,W,,"New York, NY",Polo Grounds,25000,,Green Bay Packers,gb
10,Thu,11/28/1929,A,Frankford Yellow Jackets,0-0,T,,"Philadelphia, PA",Frankford Stadium,12000,,Green Bay Packers,gb
11,Sun,12/1/1929,A,Providence Steam Roller,25-0,W,,"Providence, RI",Providence Cycledrome,6500,,Green Bay Packers,gb
12,Sun,12/8/1929,A,Chicago Bears,25-0,W,,"Chicago, IL",Wrigley Field,6000,,Green Bay Packers,gb
0,Sun,9/29/1929,A,Orange Tornadoes,0-0,T,,"East Orange, NJ",Knights of Columbus Field,9000,,New York Giants,nyg
1,Sun,10/6/1929,A,Providence Steam Roller,7-0,W,,"Providence, RI",Providence Cycledrome,14000,,New York Giants,nyg
2,Sun,10/13/1929,H,Staten Island Stapletons,19-9,W,,"New York, NY",Polo Grounds,30000,,New York Giants,nyg
3,Sun,10/20/1929,H,Frankford Yellow Jackets,32-0,W,,"New York, NY",Polo Grounds,30000,,New York Giants,nyg
4,Sun,10/27/1929,H,Providence Steam Roller,19-0,W,,"New York, NY",Polo Grounds,25000,,New York Giants,nyg
5,Sun,11/3/1929,A,Chicago Bears,26-14,W,,"Chicago, IL",Wrigley Field,26000,,New York Giants,nyg
6,Tue,11/5/1929,A,Buffalo Bisons,45-6,W,,"Buffalo, NY",Bison Stadium,,,New York Giants,nyg
7,Sun,11/10/1929,H,Orange Tornadoes,22-0,W,,"New York, NY",Polo Grounds,15000,,New York Giants,nyg
8,Sun,11/17/1929,H,Chicago Bears,34-0,W,,"New York, NY",Polo Grounds,12000,,New York Giants,nyg
9,Sun,11/24/1929,H,Green Bay Packers,6-20,L,,"New York, NY",Polo Grounds,25000,,New York Giants,nyg
10,Thu,11/28/1929,A,Staten Island Stapletons,21-7,W,,"New York, NY",Thompson's Stadium,12000,,New York Giants,nyg
11,Sun,12/1/1929,H,Chicago Cardinals,24-21,W,,"New York, NY",Polo Grounds,15000,,New York Giants,nyg
12,Sat,12/7/1929,A,Frankford Yellow Jackets,12-0,W,,"Philadelphia, PA",Frankford Stadium,7000,,New York Giants,nyg
13,Sun,12/8/1929,H,Frankford Yellow Jackets,31-0,W,,"New York, NY",Polo Grounds,10000,,New York Giants,nyg
14,Sun,12/15/1929,A,Chicago Bears,14-9,W,,"Chicago, IL",Wrigley Field,5000,,New York Giants,nyg
0,Sat,9/28/1929,H,Dayton Triangles,14-7,W,,"Philadelphia, PA",Frankford Stadium,6500,,Frankford Yellow Jackets,fra
1,Sat,10/5/1929,H,Buffalo Bisons,19-0,W,,"Philadelphia, PA",Frankford Stadium,6000,,Frankford Yellow Jackets,fra
2,Sun,10/6/1929,A,Buffalo Bisons,13-0,W,,"Buffalo, NY",Bison Stadium,,,Frankford Yellow Jackets,fra
3,Sun,10/13/1929,A,Green Bay Packers,2-14,L,,"Green Bay, WI",City Stadium,9000,,Frankford Yellow Jackets,fra
4,Sat,10/19/1929,H,Orange Tornadoes,6-6,T,,"Philadelphia, PA",Frankford Stadium,6000,,Frankford Yellow Jackets,fra
5,Sun,10/20/1929,A,New York Giants,0-32,L,,"New York, NY",Polo Grounds,30000,,Frankford Yellow Jackets,fra
6,Sat,10/26/1929,H,Staten Island Stapletons,6-6,T,,"Philadelphia, PA",Frankford Stadium,6000,,Frankford Yellow Jackets,fra
7,Sun,10/27/1929,A,Staten Island Stapletons,3-0,W,,"New York, NY",Thompson's Stadium,10000,,Frankford Yellow Jackets,fra
8,Sat,11/2/1929,H,Chicago Cardinals,8-0,W,,"Philadelphia, PA",Frankford Stadium,5000,,Frankford Yellow Jackets,fra
9,Sat,11/9/1929,H,Providence Steam Roller,7-0,W,,"Philadelphia, PA",Frankford Stadium,6000,,Frankford Yellow Jackets,fra
10,Sun,11/10/1929,A,Providence Steam Roller,7-6,W,,"Providence, RI",Providence Cycledrome,,,Frankford Yellow Jackets,fra
11,Sun,11/11/1929,A,Boston Bulldogs,,-,,"Philadelphia, PA",Frankford Stadium,,Canceled; Postponed from 11/3,Frankford Yellow Jackets,fra
12,Sat,11/16/1929,H,Chicago Bears,20-14,W,,"Philadelphia, PA",Frankford Stadium,9000,,Frankford Yellow Jackets,fra
13,Sun,11/17/1929,A,Orange Tornadoes,0-0,T,,"East Orange, NJ",Knights of Columbus Field,1500,,Frankford Yellow Jackets,fra
14,Sat,11/23/1929,H,Minneapolis Redjackets,24-0,W,,"Philadelphia, PA",Frankford Stadium,3500,,Frankford Yellow Jackets,fra
15,Thu,11/28/1929,H,Green Bay Packers,0-0,T,,"Philadelphia, PA",Frankford Stadium,12000,,Frankford Yellow Jackets,fra
16,Sun,12/1/1929,A,Chicago Bears,0-0,T,,"Chicago, IL",Wrigley Field,1500,,Frankford Yellow Jackets,fra
17,Sat,12/7/1929,H,New York Giants,0-12,L,,"Philadelphia, PA",Frankford Stadium,7000,,Frankford Yellow Jackets,fra
18,Sun,12/8/1929,A,New York Giants,0-31,L,,"New York, NY",Polo Grounds,10000,,Frankford Yellow Jackets,fra
19,Sat,12/14/1929,H,Orange Tornadoes,10-0,W,,"Philadelphia, PA",Frankford Stadium,3500,,Frankford Yellow Jackets,fra
0,Sun,9/29/1929,A,Buffalo Bisons,9-3,W,,"Buffalo, NY",Bison Stadium,4000,,Chicago Cardinals,chic
1,Sun,10/6/1929,A,Green Bay Packers,2-9,L,,"Green Bay, WI",City Stadium,6000,,Chicago Cardinals,chic
2,Sun,10/13/1929,A,Minneapolis Redjackets,7-14,L,,"Minneapolis, MN",Nicollet Park,,,Chicago Cardinals,chic
3,Sun,10/20/1929,A,Chicago Bears,0-0,T,,"Chicago, IL",Wrigley Field,18000,,Chicago Cardinals,chic
4,Sun,10/27/1929,H,Green Bay Packers,6-7,L,,"Chicago, IL",Comiskey Park,8000,,Chicago Cardinals,chic
5,Sat,11/2/1929,A,Frankford Yellow Jackets,0-8,L,,"Philadelphia, PA",Frankford Stadium,5000,,Chicago Cardinals,chic
6,Wed,11/6/1929,A,Providence Steam Roller,16-0,W,,"Providence, RI",Kinsley Park,6000,Postponed from 11/3,Chicago Cardinals,chic
7,Sun,11/10/1929,H,Minneapolis Redjackets,8-0,W,,"Chicago, IL",Comiskey Park,6000,,Chicago Cardinals,chic
8,Sun,11/17/1929,H,Green Bay Packers,0-12,L,,"Chicago, IL",Comiskey Park,10000,,Chicago Cardinals,chic
9,Sun,11/24/1929,H,Dayton Triangles,19-0,W,,"Chicago, IL",Comiskey Park,300,,Chicago Cardinals,chic
10,Thu,11/28/1929,H,Chicago Bears,40-6,W,,"Chicago, IL",Comiskey Park,8000,,Chicago Cardinals,chic
11,Sun,12/1/1929,A,New York Giants,21-24,L,,"New York, NY",Polo Grounds,15000,,Chicago Cardinals,chic
12,Sun,12/8/1929,A,Orange Tornadoes,26-0,W,,"East Orange, NJ",Knights of Columbus Field,,,Chicago Cardinals,chic
0,Sun,10/6/1929,A,Orange Tornadoes,0-7,L,,"East Orange, NJ",Knights of Columbus Field,7000,,Boston Bulldogs,bos
1,Sun,10/13/1929,H,Dayton Triangles,41-0,W,,"Boston, MA",Braves Field,800,,Boston Bulldogs,bos
2,Sun,10/20/1929,H,Orange Tornadoes,13-19,L,,"Boston, MA",Braves Field,6000,,Boston Bulldogs,bos
3,Sun,10/27/1929,H,Buffalo Bisons,14-6,W,,"Minersville, PA",Minersville Park,700,Moved from Buffalo & Boston,Boston Bulldogs,bos
4,Tue,10/29/1929,H,Orange Tornadoes,6-0,W,,"Pottsville, PA",Mitchell Field,2000,,Boston Bulldogs,bos
5,Sun,11/10/1929,A,Staten Island Stapletons,6-14,L,,"New York, NY",Thompson's Stadium,7500,,Boston Bulldogs,bos
6,Sun,11/11/1929,H,Frankford Yellow Jackets,,-,,"Boston, MA",Braves Field,,Canceled; Postponed from 11/3,Boston Bulldogs,bos
7,Sun,11/17/1929,H,Buffalo Bisons,12-7,W,,"Boston, MA",Braves Field,,,Boston Bulldogs,bos
8,Sun,11/24/1929,A,Providence Steam Roller,6-20,L,,"Providence, RI",Providence Cycledrome,,,Boston Bulldogs,bos
9,Sun,11/28/1929,H,Providence Steam Roller,,-,,"Boston, MA",Braves Field,,Canceled,Boston Bulldogs,bos
0,Sun,10/6/1929,H,Dayton Triangles,12-0,W,,"New York, NY",Thompson's Stadium,6000,,Staten Island Stapletons,si
1,Sun,10/13/1929,A,New York Giants,9-19,L,,"New York, NY",Polo Grounds,30000,,Staten Island Stapletons,si
2,Sat,10/26/1929,A,Frankford Yellow Jackets,6-6,T,,"Philadelphia, PA",Frankford Stadium,6000,,Staten Island Stapletons,si
3,Sun,10/27/1929,H,Frankford Yellow Jackets,0-3,L,,"New York, NY",Thompson's Stadium,10000,,Staten Island Stapletons,si
4,Sun,11/3/1929,H,Orange Tornadoes,0-0,T,,"New York, NY",Thompson's Stadium,,,Staten Island Stapletons,si
5,Tue,11/5/1929,H,Providence Steam Roller,7-7,T,,"New York, NY",Thompson's Stadium,10000,,Staten Island Stapletons,si
6,Sun,11/10/1929,H,Boston Bulldogs,14-6,W,,"New York, NY",Thompson's Stadium,7500,,Staten Island Stapletons,si
7,Sun,11/24/1929,H,Minneapolis Redjackets,34-0,W,,"New York, NY",Thompson's Stadium,,,Staten Island Stapletons,si
8,Thu,11/28/1929,H,New York Giants,7-21,L,,"New York, NY",Thompson's Stadium,12000,,Staten Island Stapletons,si
9,Sun,12/1/1929,A,Orange Tornadoes,0-3,L,,"East Orange, NJ",Knights of Columbus Field,8000,,Staten Island Stapletons,si
0,Sun,9/29/1929,H,Dayton Triangles,41-0,W,,"Providence, RI",Providence Cycledrome,8500,,Providence Steam Roller,pro
1,Sun,10/6/1929,H,New York Giants,0-7,L,,"Providence, RI",Providence Cycledrome,14000,,Providence Steam Roller,pro
2,Sun,10/13/1929,H,Orange Tornadoes,7-0,W,,"Providence, RI",Providence Cycledrome,9000,,Providence Steam Roller,pro
3,Sun,10/20/1929,H,Buffalo Bisons,7-7,T,,"Providence, RI",Providence Cycledrome,8500,,Providence Steam Roller,pro
4,Sun,10/27/1929,A,New York Giants,0-19,L,,"New York, NY",Polo Grounds,25000,,Providence Steam Roller,pro
5,Tue,11/5/1929,A,Staten Island Stapletons,7-7,T,,"New York, NY",Thompson's Stadium,10000,,Providence Steam Roller,pro
6,Wed,11/6/1929,H,Chicago Cardinals,0-16,L,,"Providence, RI",Kinsley Park,6000,Postponed from 11/3,Providence Steam Roller,pro
7,Sat,11/9/1929,A,Frankford Yellow Jackets,0-7,L,,"Philadelphia, PA",Frankford Stadium,6000,,Providence Steam Roller,pro
8,Sun,11/10/1929,H,Frankford Yellow Jackets,6-7,L,,"Providence, RI",Providence Cycledrome,,,Providence Steam Roller,pro
9,Sun,11/17/1929,H,Minneapolis Redjackets,19-16,W,,"Providence, RI",Providence Cycledrome,8500,,Providence Steam Roller,pro
10,Sun,11/24/1929,H,Boston Bulldogs,20-6,W,,"Providence, RI",Providence Cycledrome,,,Providence Steam Roller,pro
11,Sun,11/28/1929,A,Boston Bulldogs,,-,,"Boston, MA",Braves Field,,Canceled,Providence Steam Roller,pro
12,Sun,12/1/1929,H,Green Bay Packers,0-25,L,,"Providence, RI",Providence Cycledrome,6500,,Providence Steam Roller,pro
0,Sun,9/29/1929,H,New York Giants,0-0,T,,"East Orange, NJ",Knights of Columbus Field,9000,,Orange Tornadoes,ora
1,Sun,10/6/1929,H,Boston Bulldogs,7-0,W,,"East Orange, NJ",Knights of Columbus Field,7000,,Orange Tornadoes,ora
2,Sun,10/13/1929,A,Providence Steam Roller,0-7,L,,"Providence, RI",Providence Cycledrome,9000,,Orange Tornadoes,ora
3,Sat,10/19/1929,A,Frankford Yellow Jackets,6-6,T,,"Philadelphia, PA",Frankford Stadium,6000,,Orange Tornadoes,ora
4,Sun,10/20/1929,A,Boston Bulldogs,19-13,W,,"Boston, MA",Braves Field,6000,,Orange Tornadoes,ora
5,Tue,10/29/1929,A,Boston Bulldogs,0-6,L,,"Pottsville, PA",Mitchell Field,2000,,Orange Tornadoes,ora
6,Sun,11/3/1929,A,Staten Island Stapletons,0-0,T,,"New York, NY",Thompson's Stadium,,,Orange Tornadoes,ora
7,Sun,11/10/1929,A,New York Giants,0-22,L,,"New York, NY",Polo Grounds,15000,,Orange Tornadoes,ora
8,Sun,11/17/1929,H,Frankford Yellow Jackets,0-0,T,,"East Orange, NJ",Knights of Columbus Field,1500,,Orange Tornadoes,ora
9,Sun,12/1/1929,H,Staten Island Stapletons,3-0,W,,"East Orange, NJ",Knights of Columbus Field,8000,,Orange Tornadoes,ora
10,Sun,12/8/1929,H,Chicago Cardinals,0-26,L,,"East Orange, NJ",Knights of Columbus Field,,,Orange Tornadoes,ora
11,Sat,12/14/1929,A,Frankford Yellow Jackets,0-10,L,,"Philadelphia, PA",Frankford Stadium,3500,,Orange Tornadoes,ora
0,Sun,9/22/1929,N1,Minneapolis Redjackets,19-6,W,,"Madison, WI",Breese Stevens Field,6500,,Chicago Bears,chib
1,Sun,9/29/1929,A,Green Bay Packers,0-23,L,,"Green Bay, WI",City Stadium,12069,,Chicago Bears,chib
2,Sun,10/6/1929,A,Minneapolis Redjackets,7-6,W,,"Minneapolis, MN",Nicollet Park,6000,,Chicago Bears,chib
3,Sun,10/13/1929,A,Buffalo Bisons,16-0,W,,"Buffalo, NY",Bison Stadium,5200,,Chicago Bears,chib
4,Sun,10/20/1929,H,Chicago Cardinals,0-0,T,,"Chicago, IL",Wrigley Field,18000,,Chicago Bears,chib
5,Sun,10/27/1929,H,Minneapolis Redjackets,27-0,W,,"Chicago, IL",Wrigley Field,9400,,Chicago Bears,chib
6,Sun,11/3/1929,H,New York Giants,14-26,L,,"Chicago, IL",Wrigley Field,26000,,Chicago Bears,chib
7,Sun,11/10/1929,H,Green Bay Packers,0-14,L,,"Chicago, IL",Wrigley Field,12000,,Chicago Bears,chib
8,Sat,11/16/1929,A,Frankford Yellow Jackets,14-20,L,,"Philadelphia, PA",Frankford Stadium,9000,,Chicago Bears,chib
9,Sun,11/17/1929,A,New York Giants,0-34,L,,"New York, NY",Polo Grounds,12000,,Chicago Bears,chib
10,Sun,11/24/1929,H,Buffalo Bisons,7-19,L,,"Chicago, IL",Wrigley Field,3500,,Chicago Bears,chib
11,Thu,11/28/1929,A,Chicago Cardinals,6-40,L,,"Chicago, IL",Comiskey Park,8000,,Chicago Bears,chib
12,Sun,12/1/1929,H,Frankford Yellow Jackets,0-0,T,,"Chicago, IL",Wrigley Field,1500,,Chicago Bears,chib
13,Sun,12/8/1929,H,Green Bay Packers,0-25,L,,"Chicago, IL",Wrigley Field,6000,,Chicago Bears,chib
14,Sun,12/15/1929,H,New York Giants,9-14,L,,"Chicago, IL",Wrigley Field,5000,,Chicago Bears,chib
0,Sun,9/29/1929,H,Chicago Cardinals,3-9,L,,"Buffalo, NY",Bison Stadium,4000,,Buffalo Bisons,buf
1,Sat,10/5/1929,A,Frankford Yellow Jackets,0-19,L,,"Philadelphia, PA",Frankford Stadium,6000,,Buffalo Bisons,buf
2,Sun,10/6/1929,H,Frankford Yellow Jackets,0-13,L,,"Buffalo, NY",Bison Stadium,,,Buffalo Bisons,buf
3,Sun,10/13/1929,H,Chicago Bears,0-16,L,,"Buffalo, NY",Bison Stadium,5200,,Buffalo Bisons,buf
4,Sun,10/20/1929,A,Providence Steam Roller,7-7,T,,"Providence, RI",Providence Cycledrome,8500,,Buffalo Bisons,buf
5,Sun,10/27/1929,A,Boston Bulldogs,6-14,L,,"Minersville, PA",Minersville Park,700,Moved from Buffalo & Boston,Buffalo Bisons,buf
6,Tue,11/5/1929,H,New York Giants,6-45,L,,"Buffalo, NY",Bison Stadium,,,Buffalo Bisons,buf
7,Sun,11/17/1929,A,Boston Bulldogs,7-12,L,,"Boston, MA",Braves Field,,,Buffalo Bisons,buf
8,Sun,11/24/1929,A,Chicago Bears,19-7,W,,"Chicago, IL",Wrigley Field,3500,,Buffalo Bisons,buf
0,Sun,9/22/1929,N2,Chicago Bears,6-19,L,,"Madison, WI",Breese Stevens Field,6500,,Minneapolis Redjackets,min
1,Sun,10/6/1929,H,Chicago Bears,6-7,L,,"Minneapolis, MN",Nicollet Park,6000,,Minneapolis Redjackets,min
2,Sun,10/13/1929,H,Chicago Cardinals,14-7,W,,"Minneapolis, MN",Nicollet Park,,,Minneapolis Redjackets,min
3,Sun,10/20/1929,A,Green Bay Packers,0-24,L,,"Green Bay, WI",City Stadium,6000,,Minneapolis Redjackets,min
4,Sun,10/27/1929,A,Chicago Bears,0-27,L,,"Chicago, IL",Wrigley Field,9400,,Minneapolis Redjackets,min
5,Sun,11/3/1929,H,Green Bay Packers,6-16,L,,"Minneapolis, MN",Nicollet Park,3000,,Minneapolis Redjackets,min
6,Sun,11/10/1929,A,Chicago Cardinals,0-8,L,,"Chicago, IL",Comiskey Park,6000,,Minneapolis Redjackets,min
7,Sun,11/17/1929,A,Providence Steam Roller,16-19,L,,"Providence, RI",Providence Cycledrome,8500,,Minneapolis Redjackets,min
8,Sat,11/23/1929,A,Frankford Yellow Jackets,0-24,L,,"Philadelphia, PA",Frankford Stadium,3500,,Minneapolis Redjackets,min
9,Sun,11/24/1929,A,Staten Island Stapletons,0-34,L,,"New York, NY",Thompson's Stadium,,,Minneapolis Redjackets,min
0,Sun,9/22/1929,A,Green Bay Packers,0-8,L,,"Green Bay, WI",City Stadium,5000,,Dayton Triangles,day
1,Sat,9/28/1929,A,Frankford Yellow Jackets,7-14,L,,"Philadelphia, PA",Frankford Stadium,6500,,Dayton Triangles,day
2,Sun,9/29/1929,A,Providence Steam Roller,0-41,L,,"Providence, RI",Providence Cycledrome,8500,,Dayton Triangles,day
3,Sun,10/6/1929,A,Staten Island Stapletons,0-12,L,,"New York, NY",Thompson's Stadium,6000,,Dayton Triangles,day
4,Sun,10/13/1929,A,Boston Bulldogs,0-41,L,,"Boston, MA",Braves Field,800,,Dayton Triangles,day
5,Sun,11/24/1929,A,Chicago Cardinals,0-19,L,,"Chicago, IL",Comiskey Park,300,,Dayton Triangles,day
0,Sun,9/21/1930,H,Chicago Cardinals,14-0,W,,"Green Bay, WI",City Stadium,8000,,Green Bay Packers,gb
1,Sun,9/28/1930,H,Chicago Bears,7-0,W,,"Green Bay, WI",City Stadium,10000,,Green Bay Packers,gb
2,Sun,10/5/1930,H,New York Giants,14-7,W,,"Green Bay, WI",City Stadium,11000,,Green Bay Packers,gb
3,Sun,10/12/1930,H,Frankford Yellow Jackets,27-12,W,,"Green Bay, WI",City Stadium,8000,,Green Bay Packers,gb
4,Sun,10/19/1930,A,Minneapolis Redjackets,13-0,W,,"Minneapolis, MN",Nicollet Park,,,Green Bay Packers,gb
5,Sun,10/26/1930,H,Minneapolis Redjackets,19-0,W,,"Green Bay, WI",City Stadium,6000,,Green Bay Packers,gb
6,Sun,11/2/1930,H,Portsmouth Spartans,47-13,W,,"Green Bay, WI",City Stadium,7500,,Green Bay Packers,gb
7,Sun,11/9/1930,A,Chicago Bears,13-12,W,,"Chicago, IL",Wrigley Field,22000,,Green Bay Packers,gb
8,Sun,11/16/1930,A,Chicago Cardinals,6-13,L,,"Chicago, IL",Comiskey Park,17000,,Green Bay Packers,gb
9,Sun,11/23/1930,A,New York Giants,6-13,L,,"New York, NY",Polo Grounds,37000,,Green Bay Packers,gb
10,Thu,11/27/1930,A,Frankford Yellow Jackets,25-7,W,,"Philadelphia, PA",Frankford Stadium,8000,,Green Bay Packers,gb
11,Sun,11/30/1930,A,Newark Tornadoes,,-,,"Newark, NJ",Newark Velodrome,,Canceled,Green Bay Packers,gb
12,Sun,11/30/1930,A,Staten Island Stapletons,37-7,W,,"New York, NY",Thompson's Stadium,9500,,Green Bay Packers,gb
13,Sun,12/7/1930,A,Chicago Bears,0-21,L,,"Chicago, IL",Wrigley Field,22000,,Green Bay Packers,gb
14,Sun,12/14/1930,A,Portsmouth Spartans,6-6,T,,"Portsmouth, OH",Universal Stadium,4500,,Green Bay Packers,gb
0,Wed,9/17/1930,A,Newark Tornadoes,32-0,W,,"Newark, NJ",Newark Schools Stadium,6000,,New York Giants,nyg
1,Sun,9/28/1930,A,Providence Steam Roller,27-7,W,,"Providence, RI",Providence Cycledrome,12000,,New York Giants,nyg
2,Sun,10/5/1930,A,Green Bay Packers,7-14,L,,"Green Bay, WI",City Stadium,11000,,New York Giants,nyg
3,Sun,10/12/1930,A,Chicago Bears,12-0,W,,"Chicago, IL",Wrigley Field,12000,,New York Giants,nyg
4,Thu,10/16/1930,H,Chicago Cardinals,25-12,W,,"New York, NY",Polo Grounds,15000,Postponed from 10/15,New York Giants,nyg
5,Sun,10/19/1930,H,Frankford Yellow Jackets,53-0,W,,"New York, NY",Polo Grounds,12000,,New York Giants,nyg
6,Sun,10/26/1930,H,Providence Steam Roller,25-0,W,,"New York, NY",Polo Grounds,10000,,New York Giants,nyg
7,Thu,10/30/1930,H,Newark Tornadoes,34-7,W,,"New York, NY",Polo Grounds,5000,Postponed from 10/29,New York Giants,nyg
8,Sun,11/2/1930,H,Staten Island Stapletons,9-7,W,,"New York, NY",Polo Grounds,18000,,New York Giants,nyg
9,Wed,11/5/1930,A,Portsmouth Spartans,19-6,W,,"Portsmouth, OH",Universal Stadium,7000,,New York Giants,nyg
10,Sun,11/9/1930,A,Chicago Cardinals,13-7,W,,"Chicago, IL",Comiskey Park,4000,,New York Giants,nyg
11,Sun,11/16/1930,H,Chicago Bears,0-12,L,,"New York, NY",Polo Grounds,5000,,New York Giants,nyg
12,Sun,11/23/1930,H,Green Bay Packers,13-6,W,,"New York, NY",Polo Grounds,37000,,New York Giants,nyg
13,Thu,11/27/1930,A,Staten Island Stapletons,6-7,L,,"New York, NY",Thompson's Stadium,12000,,New York Giants,nyg
14,Sun,11/30/1930,H,Brooklyn Dodgers,6-7,L,,"New York, NY",Polo Grounds,25000,,New York Giants,nyg
15,Sat,12/6/1930,A,Frankford Yellow Jackets,14-6,W,,"Philadelphia, PA",Frankford Stadium,4000,,New York Giants,nyg
16,Sun,12/7/1930,A,Brooklyn Dodgers,13-0,W,,"New York, NY",Ebbets Field,22000,,New York Giants,nyg
0,Sun,9/21/1930,H,Brooklyn Dodgers,0-0,T,,"Chicago, IL",Mills Stadium,10000,,Chicago Bears,chib
1,Sun,9/28/1930,A,Green Bay Packers,0-7,L,,"Green Bay, WI",City Stadium,10000,,Chicago Bears,chib
2,Sun,10/5/1930,A,Minneapolis Redjackets,20-0,W,,"Minneapolis, MN",Nicollet Park,7000,,Chicago Bears,chib
3,Sun,10/12/1930,H,New York Giants,0-12,L,,"Chicago, IL",Wrigley Field,12000,,Chicago Bears,chib
4,Sun,10/19/1930,A,Chicago Cardinals,32-6,W,,"Chicago, IL",Comiskey Park,7000,,Chicago Bears,chib
5,Wed,10/22/1930,A,Portsmouth Spartans,6-7,L,,"Portsmouth, OH",Universal Stadium,7500,,Chicago Bears,chib
6,Sun,10/26/1930,H,Frankford Yellow Jackets,13-7,W,,"Chicago, IL",Wrigley Field,5000,,Chicago Bears,chib
7,Sun,11/2/1930,H,Minneapolis Redjackets,20-7,W,,"Chicago, IL",Wrigley Field,4000,,Chicago Bears,chib
8,Sun,11/9/1930,H,Green Bay Packers,12-13,L,,"Chicago, IL",Wrigley Field,22000,,Chicago Bears,chib
9,Sun,11/16/1930,A,New York Giants,12-0,W,,"New York, NY",Polo Grounds,5000,,Chicago Bears,chib
10,Sat,11/22/1930,A,Frankford Yellow Jackets,13-6,W,,"Philadelphia, PA",Frankford Stadium,6500,,Chicago Bears,chib
11,Thu,11/27/1930,H,Chicago Cardinals,6-0,W,,"Chicago, IL",Wrigley Field,8175,,Chicago Bears,chib
12,Sun,11/30/1930,H,Portsmouth Spartans,14-6,W,,"Chicago, IL",Wrigley Field,6000,,Chicago Bears,chib
13,Sun,12/7/1930,H,Green Bay Packers,21-0,W,,"Chicago, IL",Wrigley Field,22000,,Chicago Bears,chib
0,Sun,9/21/1930,A,Chicago Bears,0-0,T,,"Chicago, IL",Mills Stadium,10000,,Brooklyn Dodgers,bkn
1,Wed,9/24/1930,A,Portsmouth Spartans,0-12,L,,"Portsmouth, OH",Universal Stadium,6000,,Brooklyn Dodgers,bkn
2,Sun,10/5/1930,A,Staten Island Stapletons,20-0,W,,"New York, NY",Thompson's Stadium,3500,,Brooklyn Dodgers,bkn
3,Thu,10/9/1930,,Providence Steam Roller,,-,,,,,Canceled,Brooklyn Dodgers,bkn
4,Sun,10/12/1930,H,Newark Tornadoes,32-0,W,,"New York, NY",Ebbets Field,7000,,Brooklyn Dodgers,bkn
5,Sat,10/18/1930,A,Frankford Yellow Jackets,14-7,W,,"Philadelphia, PA",Frankford Stadium,3000,,Brooklyn Dodgers,bkn
6,Sun,10/19/1930,A,Newark Tornadoes,14-0,W,,"Newark, NJ",Newark Velodrome,,,Brooklyn Dodgers,bkn
7,Sun,11/2/1930,A,Providence Steam Roller,0-3,L,,"Providence, RI",Providence Cycledrome,,,Brooklyn Dodgers,bkn
8,Sun,11/9/1930,H,Minneapolis Redjackets,34-0,W,,"New York, NY",Ebbets Field,12000,,Brooklyn Dodgers,bkn
9,Sun,11/23/1930,H,Staten Island Stapletons,0-6,L,,"New York, NY",Ebbets Field,18000,,Brooklyn Dodgers,bkn
10,Thu,11/27/1930,H,Providence Steam Roller,33-12,W,,"New York, NY",Ebbets Field,7000,,Brooklyn Dodgers,bkn
11,Sun,11/30/1930,A,New York Giants,7-6,W,,"New York, NY",Polo Grounds,25000,,Brooklyn Dodgers,bkn
12,Sun,12/7/1930,H,New York Giants,0-13,L,,"New York, NY",Ebbets Field,22000,,Brooklyn Dodgers,bkn
