Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1934,bal,Opponents Totals,14,36,9,27,,,,,,,,,
1934,lten,Team Totals,44,64,80,50,,,,,,,,,
1934,lten,Opponents Totals,14,10,13,22,,,,,,,,,
1934,dul,Team Totals,27,43,33,53,,,,,,,,,
1934,dul,Opponents Totals,19,6,47,40,,,,,,,,,
1934,atl,Team Totals,26,0,25,29,,,,,,,,,
1934,atl,Opponents Totals,30,25,7,22,,,,,,,,,
1934,ham,Team Totals,0,10,0,0,,,,,,,,,
1934,ham,Opponents Totals,70,50,56,67,,,,,,,,,
1934,jac,Team Totals,0,6,14,7,,,,,,,,,
1934,jac,Opponents Totals,21,20,6,14,,,,,,,,,
1935,lkc,Team Totals,49,70,24,37,,,,,,,,,
1935,lkc,Opponents Totals,7,13,32,44,,,,,,,,,
1935,har,Team Totals,20,19,30,21,,,,,,,,,
1935,har,Opponents Totals,21,23,45,40,,,,,,,,,
1935,llarm,Team Totals,27,16,27,30,,,,,,,,,
1935,llarm,Opponents Totals,47,98,0,64,,,,,,,,,
1935,min,Team Totals,13,6,12,34,,,,,,,,,
1935,min,Opponents Totals,43,50,10,20,,,,,,,,,
1935,larm,Team Totals,24,20,9,7,,,,,,,,,
1935,larm,Opponents Totals,23,58,30,68,,,,,,,,,
1935,bal,Team Totals,37,36,44,74,,,,,,,,,
1935,bal,Opponents Totals,9,34,37,31,,,,,,,,,
1935,lten,Team Totals,26,53,37,65,,,,,,,,,
1935,lten,Opponents Totals,13,42,14,27,,,,,,,,,
